Trainable Param: 481
Iteration (100/60000): Loss=5.304e+01
Iteration (200/60000): Loss=4.755e+01
Iteration (300/60000): Loss=4.423e+01
Iteration (400/60000): Loss=4.183e+01
Iteration (500/60000): Loss=4.006e+01
Iteration (600/60000): Loss=3.900e+01
Iteration (700/60000): Loss=3.842e+01
Iteration (800/60000): Loss=3.794e+01
Iteration (900/60000): Loss=3.757e+01
Iteration (1000/60000): Loss=3.716e+01
Iteration (1100/60000): Loss=3.675e+01
Iteration (1200/60000): Loss=3.644e+01
Iteration (1300/60000): Loss=3.628e+01
Iteration (1400/60000): Loss=3.616e+01
Iteration (1500/60000): Loss=3.611e+01
Iteration (1600/60000): Loss=3.613e+01
Iteration (1700/60000): Loss=3.607e+01
Iteration (1800/60000): Loss=3.604e+01
Iteration (1900/60000): Loss=3.603e+01
Iteration (2000/60000): Loss=3.601e+01
Iteration (2100/60000): Loss=3.599e+01
Iteration (2200/60000): Loss=3.598e+01
Iteration (2300/60000): Loss=3.593e+01
Iteration (2400/60000): Loss=3.590e+01
Iteration (2500/60000): Loss=3.586e+01
Iteration (2600/60000): Loss=3.581e+01
Iteration (2700/60000): Loss=3.577e+01
