Trainable Param: 1021
Iteration (100/20000): Loss=7.130e+01
Iteration (200/20000): Loss=6.993e+01
Iteration (300/20000): Loss=6.940e+01
Iteration (400/20000): Loss=6.910e+01
Iteration (500/20000): Loss=6.909e+01
Iteration (600/20000): Loss=6.879e+01
Iteration (700/20000): Loss=6.868e+01
Iteration (800/20000): Loss=6.860e+01
Iteration (900/20000): Loss=6.853e+01
Iteration (1000/20000): Loss=6.847e+01
Iteration (1100/20000): Loss=6.840e+01
Iteration (1200/20000): Loss=6.833e+01
Iteration (1300/20000): Loss=6.828e+01
Iteration (1400/20000): Loss=6.824e+01
Iteration (1500/20000): Loss=6.820e+01
Iteration (1600/20000): Loss=6.817e+01
Iteration (1700/20000): Loss=6.815e+01
Iteration (1800/20000): Loss=6.812e+01
Iteration (1900/20000): Loss=6.811e+01
Iteration (2000/20000): Loss=6.808e+01
Iteration (2100/20000): Loss=6.807e+01
Iteration (2200/20000): Loss=6.805e+01
Iteration (2300/20000): Loss=6.804e+01
Iteration (2400/20000): Loss=6.802e+01
Iteration (2500/20000): Loss=6.801e+01
Iteration (2600/20000): Loss=6.800e+01
Iteration (2700/20000): Loss=6.799e+01
Iteration (2800/20000): Loss=6.798e+01
Iteration (2900/20000): Loss=6.797e+01
Iteration (3000/20000): Loss=6.796e+01
Iteration (3100/20000): Loss=6.795e+01
Iteration (3200/20000): Loss=6.795e+01
Iteration (3300/20000): Loss=6.794e+01
Iteration (3400/20000): Loss=6.794e+01
Iteration (3500/20000): Loss=6.793e+01
Iteration (3600/20000): Loss=6.792e+01
Iteration (3700/20000): Loss=6.791e+01
Iteration (3800/20000): Loss=6.791e+01
Iteration (3900/20000): Loss=6.791e+01
Iteration (4000/20000): Loss=6.790e+01
Iteration (4100/20000): Loss=6.790e+01
Iteration (4200/20000): Loss=6.789e+01
Iteration (4300/20000): Loss=6.788e+01
Iteration (4400/20000): Loss=6.814e+01
Iteration (4500/20000): Loss=6.788e+01
Iteration (4600/20000): Loss=6.787e+01
Iteration (4700/20000): Loss=6.786e+01
Iteration (4800/20000): Loss=6.786e+01
Iteration (4900/20000): Loss=6.785e+01
Iteration (5000/20000): Loss=6.720e+01
Iteration (5100/20000): Loss=6.642e+01
Iteration (5200/20000): Loss=6.623e+01
Iteration (5300/20000): Loss=6.615e+01
Iteration (5400/20000): Loss=6.607e+01
Iteration (5500/20000): Loss=6.600e+01
Iteration (5600/20000): Loss=6.593e+01
Iteration (5700/20000): Loss=6.566e+01
Iteration (5800/20000): Loss=6.550e+01
Iteration (5900/20000): Loss=6.540e+01
Iteration (6000/20000): Loss=6.533e+01
Iteration (6100/20000): Loss=6.528e+01
Iteration (6200/20000): Loss=6.523e+01
Iteration (6300/20000): Loss=6.519e+01
Iteration (6400/20000): Loss=6.505e+01
Iteration (6500/20000): Loss=6.486e+01
Iteration (6600/20000): Loss=6.464e+01
Iteration (6700/20000): Loss=6.444e+01
Iteration (6800/20000): Loss=6.425e+01
Iteration (6900/20000): Loss=6.409e+01
Iteration (7000/20000): Loss=6.395e+01
Iteration (7100/20000): Loss=6.381e+01
Iteration (7200/20000): Loss=6.370e+01
Iteration (7300/20000): Loss=6.359e+01
Iteration (7400/20000): Loss=6.349e+01
Iteration (7500/20000): Loss=6.340e+01
Iteration (7600/20000): Loss=6.331e+01
Iteration (7700/20000): Loss=6.323e+01
Iteration (7800/20000): Loss=6.315e+01
Iteration (7900/20000): Loss=6.309e+01
Iteration (8000/20000): Loss=6.301e+01
Iteration (8100/20000): Loss=6.295e+01
Iteration (8200/20000): Loss=6.288e+01
Iteration (8300/20000): Loss=6.283e+01
Iteration (8400/20000): Loss=6.277e+01
Iteration (8500/20000): Loss=6.273e+01
Iteration (8600/20000): Loss=6.266e+01
Iteration (8700/20000): Loss=6.260e+01
Iteration (8800/20000): Loss=6.255e+01
Iteration (8900/20000): Loss=6.250e+01
Iteration (9000/20000): Loss=6.245e+01
Iteration (9100/20000): Loss=6.241e+01
Iteration (9200/20000): Loss=6.236e+01
Iteration (9300/20000): Loss=6.232e+01
Iteration (9400/20000): Loss=6.227e+01
Iteration (9500/20000): Loss=6.223e+01
Iteration (9600/20000): Loss=6.218e+01
Iteration (9700/20000): Loss=6.215e+01
Iteration (9800/20000): Loss=6.210e+01
