Trainable Param: 481
Iteration (100/100000): Loss=2.406e+01
Iteration (200/100000): Loss=9.969e+00
Iteration (300/100000): Loss=5.451e+00
Iteration (400/100000): Loss=3.630e+00
Iteration (500/100000): Loss=2.610e+00
Iteration (600/100000): Loss=1.827e+00
Iteration (700/100000): Loss=1.174e+00
Iteration (800/100000): Loss=8.596e-01
Iteration (900/100000): Loss=6.728e-01
Iteration (1000/100000): Loss=5.505e-01
Iteration (1100/100000): Loss=4.636e-01
Iteration (1200/100000): Loss=3.990e-01
Iteration (1300/100000): Loss=3.451e-01
Iteration (1400/100000): Loss=3.369e-01
Iteration (1500/100000): Loss=2.531e-01
Iteration (1600/100000): Loss=2.250e-01
Iteration (1700/100000): Loss=2.012e-01
Iteration (1800/100000): Loss=1.845e-01
Iteration (1900/100000): Loss=1.703e-01
Iteration (2000/100000): Loss=1.584e-01
Iteration (2100/100000): Loss=1.473e-01
Iteration (2200/100000): Loss=1.393e-01
Iteration (2300/100000): Loss=1.294e-01
Iteration (2400/100000): Loss=1.216e-01
Iteration (2500/100000): Loss=1.149e-01
Iteration (2600/100000): Loss=1.086e-01
Iteration (2700/100000): Loss=1.157e-01
Iteration (2800/100000): Loss=9.772e-02
Iteration (2900/100000): Loss=9.276e-02
Iteration (3000/100000): Loss=8.841e-02
Iteration (3100/100000): Loss=8.418e-02
Iteration (3200/100000): Loss=7.995e-02
Iteration (3300/100000): Loss=7.618e-02
Iteration (3400/100000): Loss=7.213e-02
Iteration (3500/100000): Loss=6.824e-02
Iteration (3600/100000): Loss=6.399e-02
Iteration (3700/100000): Loss=5.999e-02
Iteration (3800/100000): Loss=5.643e-02
Iteration (3900/100000): Loss=5.305e-02
Iteration (4000/100000): Loss=4.996e-02
Iteration (4100/100000): Loss=4.785e-02
Iteration (4200/100000): Loss=4.500e-02
Iteration (4300/100000): Loss=1.863e-01
Iteration (4400/100000): Loss=4.131e-02
Iteration (4500/100000): Loss=3.995e-02
Iteration (4600/100000): Loss=3.926e-02
Iteration (4700/100000): Loss=3.733e-02
Iteration (4800/100000): Loss=4.088e-02
Iteration (4900/100000): Loss=3.533e-02
Iteration (5000/100000): Loss=3.451e-02
Iteration (5100/100000): Loss=3.362e-02
Iteration (5200/100000): Loss=3.283e-02
Iteration (5300/100000): Loss=3.798e-02
Iteration (5400/100000): Loss=3.125e-02
Iteration (5500/100000): Loss=3.047e-02
Iteration (5600/100000): Loss=2.982e-02
Iteration (5700/100000): Loss=2.915e-02
Iteration (5800/100000): Loss=2.856e-02
Iteration (5900/100000): Loss=2.781e-02
Iteration (6000/100000): Loss=2.725e-02
Iteration (6100/100000): Loss=2.743e-02
Iteration (6200/100000): Loss=2.589e-02
Iteration (6300/100000): Loss=2.559e-02
Iteration (6400/100000): Loss=2.478e-02
Iteration (6500/100000): Loss=2.926e-02
Iteration (6600/100000): Loss=2.376e-02
Iteration (6700/100000): Loss=2.324e-02
Iteration (6800/100000): Loss=2.281e-02
Iteration (6900/100000): Loss=2.234e-02
Iteration (7000/100000): Loss=6.338e-02
Iteration (7100/100000): Loss=2.149e-02
Iteration (7200/100000): Loss=2.108e-02
Iteration (7300/100000): Loss=2.513e-02
Iteration (7400/100000): Loss=2.026e-02
Iteration (7500/100000): Loss=2.328e-02
Iteration (7600/100000): Loss=1.953e-02
Iteration (7700/100000): Loss=1.915e-02
Iteration (7800/100000): Loss=2.083e-02
Iteration (7900/100000): Loss=1.847e-02
Iteration (8000/100000): Loss=1.195e-01
Iteration (8100/100000): Loss=1.781e-02
Iteration (8200/100000): Loss=2.775e-02
Iteration (8300/100000): Loss=1.718e-02
Iteration (8400/100000): Loss=3.574e-02
Iteration (8500/100000): Loss=1.660e-02
Iteration (8600/100000): Loss=2.951e-02
Iteration (8700/100000): Loss=1.605e-02
Iteration (8800/100000): Loss=1.575e-02
Iteration (8900/100000): Loss=1.812e-02
Iteration (9000/100000): Loss=1.524e-02
Iteration (9100/100000): Loss=1.496e-02
Iteration (9200/100000): Loss=1.489e-02
Iteration (9300/100000): Loss=1.448e-02
Iteration (9400/100000): Loss=1.425e-02
Iteration (9500/100000): Loss=1.404e-02
Iteration (9600/100000): Loss=1.377e-02
Iteration (9700/100000): Loss=1.955e-01
Iteration (9800/100000): Loss=1.333e-02
Iteration (9900/100000): Loss=1.309e-02
Iteration (10000/100000): Loss=3.129e-02
Iteration (10100/100000): Loss=1.268e-02
Iteration (10200/100000): Loss=1.245e-02
Iteration (10300/100000): Loss=1.325e-02
Iteration (10400/100000): Loss=1.206e-02
Iteration (10500/100000): Loss=1.185e-02
Iteration (10600/100000): Loss=1.282e-02
Iteration (10700/100000): Loss=1.147e-02
Iteration (10800/100000): Loss=1.130e-02
Iteration (10900/100000): Loss=1.114e-02
Iteration (11000/100000): Loss=1.091e-02
Iteration (11100/100000): Loss=2.224e-02
Iteration (11200/100000): Loss=1.057e-02
Iteration (11300/100000): Loss=1.038e-02
Iteration (11400/100000): Loss=1.071e-02
Iteration (11500/100000): Loss=1.008e-02
Iteration (11600/100000): Loss=9.912e-03
Iteration (11700/100000): Loss=1.015e-02
Iteration (11800/100000): Loss=9.626e-03
Iteration (11900/100000): Loss=9.467e-03
Iteration (12000/100000): Loss=9.674e-03
Iteration (12100/100000): Loss=9.191e-03
Iteration (12200/100000): Loss=3.774e-02
Iteration (12300/100000): Loss=8.936e-03
Iteration (12400/100000): Loss=8.797e-03
Iteration (12500/100000): Loss=8.891e-03
Iteration (12600/100000): Loss=8.568e-03
Iteration (12700/100000): Loss=8.440e-03
Iteration (12800/100000): Loss=8.369e-03
Iteration (12900/100000): Loss=8.234e-03
Iteration (13000/100000): Loss=1.728e-02
Iteration (13100/100000): Loss=8.044e-03
Iteration (13200/100000): Loss=7.923e-03
Iteration (13300/100000): Loss=9.837e-03
Iteration (13400/100000): Loss=7.747e-03
Iteration (13500/100000): Loss=7.645e-03
Iteration (13600/100000): Loss=7.992e-03
Iteration (13700/100000): Loss=7.485e-03
Iteration (13800/100000): Loss=7.391e-03
Iteration (13900/100000): Loss=7.372e-03
Iteration (14000/100000): Loss=7.249e-03
Iteration (14100/100000): Loss=7.186e-03
Iteration (14200/100000): Loss=7.165e-03
Iteration (14300/100000): Loss=7.020e-03
Iteration (14400/100000): Loss=1.368e-02
Iteration (14500/100000): Loss=6.891e-03
Iteration (14600/100000): Loss=6.816e-03
Iteration (14700/100000): Loss=6.755e-03
